issue #,html_url,"Annotator B
Stage A","Annotator B
Stage B"
31570,https://github.com/mastodon/mastodon/issues/31570,Bug,Regression Bug
31611,https://github.com/mastodon/mastodon/issues/31611,Bug,Regression Bug
31679,https://github.com/mastodon/mastodon/issues/31679,Bug,Regression Bug
32061,https://github.com/mastodon/mastodon/issues/32061,Bug,Regression Bug
32067,https://github.com/mastodon/mastodon/issues/32067,Not a Bug,Not a Bug
32172,https://github.com/mastodon/mastodon/issues/32172,Bug,Other Bug
32308,https://github.com/mastodon/mastodon/issues/32308,Not a Bug,Not a Bug
32309,https://github.com/mastodon/mastodon/issues/32309,Not a Bug,Not a Bug
32314,https://github.com/mastodon/mastodon/issues/32314,Bug,Other Bug
32325,https://github.com/mastodon/mastodon/issues/32325,Bug,Regression Bug
32338,https://github.com/mastodon/mastodon/issues/32338,Not a Bug,Not a Bug
32352,https://github.com/mastodon/mastodon/issues/32352,Bug,Regression Bug
32355,https://github.com/mastodon/mastodon/issues/32355,Bug,Regression Bug
32362,https://github.com/mastodon/mastodon/issues/32362,Not a Bug,Not a Bug
32371,https://github.com/mastodon/mastodon/issues/32371,Bug,Regression Bug
32377,https://github.com/mastodon/mastodon/issues/32377,Bug,Regression Bug
32381,https://github.com/mastodon/mastodon/issues/32381,Bug,Regression Bug
32382,https://github.com/mastodon/mastodon/issues/32382,Bug,Unknown
32408,https://github.com/mastodon/mastodon/issues/32408,Bug,Regression Bug
32414,https://github.com/mastodon/mastodon/issues/32414,Bug,Other Bug
32421,https://github.com/mastodon/mastodon/issues/32421,Bug,Other Bug
32441,https://github.com/mastodon/mastodon/issues/32441,Bug,Unknown
32442,https://github.com/mastodon/mastodon/issues/32442,Not a Bug,Not a Bug
32446,https://github.com/mastodon/mastodon/issues/32446,Bug,Other Bug
32459,https://github.com/mastodon/mastodon/issues/32459,Bug,Unknown
32565,https://github.com/mastodon/mastodon/issues/32565,Not a Bug,Not a Bug
32570,https://github.com/mastodon/mastodon/issues/32570,Bug,Regression Bug
32594,https://github.com/mastodon/mastodon/issues/32594,Not a Bug,Not a Bug
32595,https://github.com/mastodon/mastodon/issues/32595,Bug,Regression Bug
32597,https://github.com/mastodon/mastodon/issues/32597,Not a Bug,Not a Bug
32604,https://github.com/mastodon/mastodon/issues/32604,Bug,Regression Bug
32607,https://github.com/mastodon/mastodon/issues/32607,Bug,Regression Bug
32618,https://github.com/mastodon/mastodon/issues/32618,Not a Bug,Not a Bug
32632,https://github.com/mastodon/mastodon/issues/32632,Bug,Other Bug
32636,https://github.com/mastodon/mastodon/issues/32636,Not a Bug,Not a Bug
32656,https://github.com/mastodon/mastodon/issues/32656,Not a Bug,Not a Bug
32669,https://github.com/mastodon/mastodon/issues/32669,Bug,Other Bug
32731,https://github.com/mastodon/mastodon/issues/32731,Bug,Regression Bug
32752,https://github.com/mastodon/mastodon/issues/32752,Not a Bug,Not a Bug
32813,https://github.com/mastodon/mastodon/issues/32813,Not a Bug,Not a Bug
32823,https://github.com/mastodon/mastodon/issues/32823,Bug,Other Bug
32862,https://github.com/mastodon/mastodon/issues/32862,Bug,Unknown
32896,https://github.com/mastodon/mastodon/issues/32896,Bug,Other Bug
32897,https://github.com/mastodon/mastodon/issues/32897,Bug,Other Bug
32932,https://github.com/mastodon/mastodon/issues/32932,Not a Bug,Not a Bug
32936,https://github.com/mastodon/mastodon/issues/32936,Bug,Other Bug
32956,https://github.com/mastodon/mastodon/issues/32956,Not a Bug,Not a Bug
32989,https://github.com/mastodon/mastodon/issues/32989,Bug,Other Bug
32993,https://github.com/mastodon/mastodon/issues/32993,Bug,Other Bug
33001,https://github.com/mastodon/mastodon/issues/33001,Not a Bug,Not a Bug
33073,https://github.com/mastodon/mastodon/issues/33073,Not a Bug,Not a Bug
33087,https://github.com/mastodon/mastodon/issues/33087,Bug,Unknown
33164,https://github.com/mastodon/mastodon/issues/33164,Not a Bug,Not a Bug
33188,https://github.com/mastodon/mastodon/issues/33188,Bug,Other Bug
33208,https://github.com/mastodon/mastodon/issues/33208,Bug,Other Bug
33287,https://github.com/mastodon/mastodon/issues/33287,Unknown,Unknown
33309,https://github.com/mastodon/mastodon/issues/33309,Not a Bug,Not a Bug
33357,https://github.com/mastodon/mastodon/issues/33357,Bug,Other Bug
33383,https://github.com/mastodon/mastodon/issues/33383,Bug,Other Bug
33411,https://github.com/mastodon/mastodon/issues/33411,Bug,Other Bug
33448,https://github.com/mastodon/mastodon/issues/33448,Not a Bug,Not a Bug
33461,https://github.com/mastodon/mastodon/issues/33461,Not a Bug,Not a Bug
33561,https://github.com/mastodon/mastodon/issues/33561,Bug,Unknown
33666,https://github.com/mastodon/mastodon/issues/33666,Bug,Regression Bug
33751,https://github.com/mastodon/mastodon/issues/33751,Bug,Other Bug
33772,https://github.com/mastodon/mastodon/issues/33772,Bug,Other Bug
33823,https://github.com/mastodon/mastodon/issues/33823,Bug,Other Bug
33923,https://github.com/mastodon/mastodon/issues/33923,Bug,Unknown
33940,https://github.com/mastodon/mastodon/issues/33940,Bug,Other Bug
33971,https://github.com/mastodon/mastodon/issues/33971,Bug,Unknown
34071,https://github.com/mastodon/mastodon/issues/34071,Not a Bug,Not a Bug
34075,https://github.com/mastodon/mastodon/issues/34075,Not a Bug,Not a Bug
34079,https://github.com/mastodon/mastodon/issues/34079,Bug,Other Bug
34080,https://github.com/mastodon/mastodon/issues/34080,Bug,Regression Bug
34082,https://github.com/mastodon/mastodon/issues/34082,Bug,Regression Bug
34123,https://github.com/mastodon/mastodon/issues/34123,Not a Bug,Not a Bug
34123,https://github.com/mastodon/mastodon/issues/31917,Not a Bug,Not a Bug
34185,https://github.com/mastodon/mastodon/issues/34185,Bug,Other Bug
34221,https://github.com/mastodon/mastodon/issues/34221,Bug,Regression Bug
34275,https://github.com/mastodon/mastodon/issues/34275,Bug,Other Bug
34326,https://github.com/mastodon/mastodon/issues/34326,Not a Bug,Not a Bug
34375,https://github.com/mastodon/mastodon/issues/34375,Not a Bug,Not a Bug
34402,https://github.com/mastodon/mastodon/issues/34402,Unknown,Unknown
34525,https://github.com/mastodon/mastodon/issues/34525,Not a Bug,Not a Bug
34602,https://github.com/mastodon/mastodon/issues/34602,Not a Bug,Not a Bug
34662,https://github.com/mastodon/mastodon/issues/34662,Not a Bug,Not a Bug
34718,https://github.com/mastodon/mastodon/issues/34718,Bug,Other Bug
34829,https://github.com/mastodon/mastodon/issues/34829,Bug,Other Bug
34832,https://github.com/mastodon/mastodon/issues/34832,Bug,Other Bug
34960,https://github.com/mastodon/mastodon/issues/34960,Not a Bug,Not a Bug
34971,https://github.com/mastodon/mastodon/issues/34971,Bug,Other Bug
35132,https://github.com/mastodon/mastodon/issues/35132,Bug,Other Bug
35135,https://github.com/mastodon/mastodon/issues/35135,Bug,Other Bug
35171,https://github.com/mastodon/mastodon/issues/35171,Bug,Other Bug
35207,https://github.com/mastodon/mastodon/issues/35207,Not a Bug,Not a Bug
35275,https://github.com/mastodon/mastodon/issues/35275,Bug,Unknown
35280,https://github.com/mastodon/mastodon/issues/35280,Bug,Other Bug
35311,https://github.com/mastodon/mastodon/issues/35311,Bug,Other Bug
35431,https://github.com/mastodon/mastodon/issues/35431,Bug,Other Bug
35961,https://github.com/mastodon/mastodon/issues/35961,Bug,Other Bug
